1,1,1,0
1,2,2,0
1,3,3,1
1,4,1,0
1,5,2,0
1,6,3,1
1,7,1,0
1,8,2,0
1,9,3,0
1,10,4,1
1,11,1,0
1,12,2,0
1,13,3,0
1,14,4,1
1,15,1,1
1,16,1,0
1,17,2,0
1,18,3,0
1,19,4,1
1,20,1,0
1,21,2,0
1,22,3,1
1,23,1,0
1,24,2,0
2,1,4,1
2,2,1,0
2,3,2,0
2,4,3,1
2,5,1,0
2,6,2,0
2,7,3,1
2,8,1,1
2,9,1,0
2,10,2,0
2,11,3,1
2,12,1,0
2,13,2,1
2,14,1,0
2,15,2,0
2,16,3,1
2,17,1,0
2,18,2,0
2,19,3,1
2,20,1,0
2,21,2,1
2,22,1,1
2,23,1,1
2,24,1,0
3,1,5,1
3,2,1,0
3,3,2,0
3,4,3,0
3,5,4,1
3,6,1,1
3,7,1,0
3,8,2,0
3,9,3,0
3,10,4,1
3,11,1,0
3,12,2,1
3,13,1,0
3,14,2,0
3,15,3,0
3,16,4,1
3,17,1,0
3,18,2,0
3,19,3,0
3,20,4,1
3,21,1,1
3,22,1,0
3,23,2,0
3,24,3,0
4,1,3,0
4,2,4,1
4,3,1,0
4,4,2,1
4,5,1,0
4,6,2,0
4,7,3,0
4,8,4,1
4,9,1,0
4,10,2,0
4,11,3,0
4,12,4,0
4,13,5,1
4,14,1,0
4,15,2,0
4,16,3,1
4,17,1,0
4,18,2,1
4,19,1,0
4,20,2,0
4,21,3,1
4,22,1,0
4,23,2,1
4,24,1,0
5,1,4,1
5,2,1,0
5,3,2,1
5,4,1,0
5,5,2,0
5,6,3,0
5,7,4,1
5,8,1,0
5,9,2,1
5,10,1,0
5,11,2,0
5,12,3,1
5,13,1,0
5,14,2,1
5,15,1,0
5,16,2,1
5,17,1,0
5,18,2,0
5,19,3,0
5,20,4,1
5,21,1,0
5,22,2,0
5,23,3,1
5,24,1,1
6,1,2,0
6,2,3,0
6,3,4,1
6,4,1,0
6,5,2,0
6,6,3,0
6,7,4,1
6,8,1,0
6,9,2,0
6,10,3,0
6,11,4,1
6,12,1,0
6,13,2,1
6,14,1,0
6,15,2,0
6,16,3,1
6,17,1,0
6,18,2,0
6,19,3,1
6,20,1,0
6,21,2,0
6,22,3,1
6,23,1,0
6,24,2,0
7,1,1,0
7,2,2,1
7,3,1,1
7,4,1,0
7,5,2,0
7,6,3,1
7,7,1,0
7,8,2,0
7,9,3,1
7,10,1,0
7,11,2,1
7,12,1,0
7,13,2,0
7,14,3,1
7,15,1,0
7,16,2,0
7,17,3,0
7,18,4,0
7,19,5,1
7,20,1,0
7,21,2,0
7,22,3,1
7,23,1,0
7,24,2,0
8,1,1,0
8,2,2,0
8,3,3,1
8,4,1,0
8,5,2,1
8,6,1,1
8,7,1,0
8,8,2,1
8,9,1,0
8,10,2,1
8,11,1,0
8,12,2,0
8,13,3,0
8,14,4,1
8,15,1,0
8,16,2,0
8,17,3,0
8,18,4,1
8,19,1,0
8,20,2,0
8,21,3,1
8,22,1,1
8,23,1,0
8,24,2,0
9,1,3,1
9,2,1,0
9,3,2,0
9,4,3,1
9,5,1,0
9,6,2,0
9,7,3,1
9,8,1,0
9,9,2,0
9,10,3,1
9,11,1,0
9,12,2,0
9,13,3,1
9,14,1,1
9,15,1,1
9,16,1,1
9,17,1,0
9,18,2,1
9,19,1,0
9,20,2,1
9,21,1,1
9,22,1,0
9,23,2,0
9,24,3,1
10,1,1,0
10,2,2,0
10,3,3,0
10,4,4,1
10,5,1,0
10,6,2,0
10,7,3,1
10,8,1,0
10,9,2,0
10,10,3,1
10,11,1,0
10,12,2,0
10,13,3,1
10,14,1,0
10,15,2,0
10,16,3,0
10,17,4,1
10,18,1,0
10,19,2,0
10,20,3,0
10,21,4,1
10,22,1,0
10,23,2,0
10,24,3,0
11,1,5,1
11,2,1,1
11,3,1,0
11,4,2,1
11,5,1,0
11,6,2,1
11,7,1,0
11,8,2,0
11,9,3,0
11,10,4,0
11,11,5,0
11,12,5,0
11,13,5,1
11,14,1,1
11,15,1,0
11,16,2,0
11,17,3,0
11,18,4,1
11,19,1,1
11,20,1,0
11,21,2,0
11,22,3,1
11,23,1,0
11,24,2,0
12,1,5,1
12,2,1,0
12,3,2,0
12,4,3,1
12,5,1,0
12,6,2,1
12,7,1,0
12,8,2,0
